注文時刻,注文内容,年代,お住まいの地域,"所属(学校名または会社名)
 ※所属が無い方は「無し」とご記入ください。",属性（最も当てはまるものを一つ選択してください）,イベントを知ったきっかけ,Club 2026に期待することをご選択ください。
2026-03-25T00:01:01+09:00,社会人【アフターパーティー有】_1,40代,愛知県,NPO団体ココロデ,社会人,スタッフからの紹介,"登壇者によるトークセッション,ワークショップ,ディスカバリーセッション(ブレイク),ディスカバリーセッション(ストリーム),アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-03-25T00:44:26+09:00,高校生以下【アフターパーティー無】_1,10代,愛知県,N高等学校,高校生,その他,"登壇者によるトークセッション,新しい知識や価値観の習得"
2026-03-25T06:40:23+09:00,社会人【アフターパーティー有】_1,40代,愛知県,Dignity2.0国際カンファレンス,社会人,登壇者・出展者からの紹介,"登壇者によるトークセッション,ワークショップ,ディスカバリーセッション(ブレイク),ディスカバリーセッション(ストリーム),アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-03-25T14:41:27+09:00,大学生・大学院生【アフターパーティー有】_1,20代,三重県,東海SIVIO,大学生・大学院生,スタッフからの紹介,"登壇者によるトークセッション,アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-03-25T15:43:30+09:00,大学生・大学院生【アフターパーティー無】_1,20代,愛知県,名古屋市立大学,大学生・大学院生,スタッフからの紹介,登壇者によるトークセッション
2026-03-26T08:25:09+09:00,大学生・大学院生【アフターパーティー有】_1,10代,愛知県,南山大学,大学生・大学院生,その他,"登壇者によるトークセッション,ワークショップ,アフターパーティー,参加者との交流"
2026-03-26T09:11:24+09:00,高校生以下【アフターパーティー有】_1,10代,愛知県,滝高校,高校生,Club Instagram,参加者との交流
2026-03-26T20:59:51+09:00,大学生・大学院生【アフターパーティー無】_1,10代,愛知県,同朋大学,大学生・大学院生,Club ホームページ・メール,ワークショップ
2026-03-26T22:08:24+09:00,大学生・大学院生【アフターパーティー無】_1,20代,愛知県,名城大学,大学生・大学院生,スタッフからの紹介,ワークショップ
2026-03-27T11:35:23+09:00,高校生以下【アフターパーティー無】_1,10代,愛知県,矢田中学校,中学生以下,Club ホームページ・メール,新しい知識や価値観の習得
2026-03-27T19:40:30+09:00,大学生・大学院生【アフターパーティー有】_1,10代,愛知県,名古屋大学,大学生・大学院生,スタッフからの紹介,"登壇者によるトークセッション,ワークショップ,ディスカバリーセッション(ブレイク),ディスカバリーセッション(ストリーム),アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-03-28T08:16:51+09:00,社会人【アフターパーティー無】_1,20代,愛知県,なし,社会人,スタッフからの紹介,新しい知識や価値観の習得
2026-03-28T16:06:24+09:00,社会人【アフターパーティー有】_1,50代,愛知県,無し,社会人,Club ホームページ・メール,"ワークショップ,参加者との交流,新しい知識や価値観の習得"
2026-03-28T22:03:53+09:00,社会人【アフターパーティー有】_1,20代,愛知県,CONTUDE合同会社,社会人,"Club ホームページ・メール,Club Instagram",参加者との交流
2026-03-29T08:38:46+09:00,社会人【アフターパーティー無】_1,50代,愛知県,豊田中央研究所,社会人,Club ホームページ・メール,"登壇者によるトークセッション,ワークショップ,ディスカバリーセッション(ブレイク),ディスカバリーセッション(ストリーム),参加者との交流"
2026-03-29T10:53:50+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,名古屋工業大学,大学生・大学院生,Club Instagram,"登壇者によるトークセッション,参加者との交流"
2026-03-29T11:30:29+09:00,大学生・大学院生【アフターパーティー有】_1,20代,三重県,三重大学,大学生・大学院生,所属校・会社からの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得"
2026-03-29T12:03:16+09:00,高校生以下【アフターパーティー有】_1,10代,愛知県,犬山市立城東中学校,中学生以下,その他,新しい知識や価値観の習得
2026-03-29T14:15:26+09:00,社会人【アフターパーティー有】_1,60代以上,愛知県,一般社団法人ビジネス・ローンチアウト,社会人,スタッフからの紹介,"登壇者によるトークセッション,参加者との交流,新しい知識や価値観の習得"
2026-03-29T15:02:18+09:00,大学生・大学院生【アフターパーティー無】_1,20代,愛知県,名古屋大学,大学生・大学院生,スタッフからの紹介,"登壇者によるトークセッション,参加者との交流,新しい知識や価値観の習得"
2026-03-29T18:30:53+09:00,大学生・大学院生【アフターパーティー有】_1,10代,愛知県,名古屋大学,大学生・大学院生,スタッフからの紹介,アフターパーティー
2026-03-30T16:14:26+09:00,社会人【アフターパーティー有】_1,50代,愛知県,株式会社ハーベスト・クロップス,社会人,スタッフからの紹介,新しい知識や価値観の習得
2026-03-30T19:26:08+09:00,大学生・大学院生【アフターパーティー無】_1,20代,愛知県,名城大学,大学生・大学院生,スタッフからの紹介,"ワークショップ,参加者との交流,新しい知識や価値観の習得"
2026-03-30T21:25:17+09:00,高校生以下【アフターパーティー無】_1,10代,愛知県,愛知県立旭丘高等学校,高校生,Club Instagram,登壇者によるトークセッション
2026-03-30T23:11:34+09:00,社会人【アフターパーティー無】_1,20代,愛知県,大同特殊鋼,社会人,"スタッフからの紹介,登壇者・出展者からの紹介",登壇者によるトークセッション
2026-03-31T05:54:05+09:00,社会人【アフターパーティー無】_1,20代,愛知県,なし,社会人,Club ホームページ・メール,登壇者によるトークセッション
2026-03-31T07:59:50+09:00,大学生・大学院生【アフターパーティー無】_1,10代,愛知県,中京大学,大学生・大学院生,Club Instagram,登壇者によるトークセッション
2026-03-31T13:41:00+09:00,大学生・大学院生【アフターパーティー有】_1,10代,愛知県,愛知教育大学,大学生・大学院生,スタッフからの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得"
2026-03-31T16:11:33+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,南山大学,大学生・大学院生,"Club Instagram,スタッフからの紹介","登壇者によるトークセッション,ディスカバリーセッション(ブレイク),ディスカバリーセッション(ストリーム),アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-03-31T21:26:50+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,名古屋芸術大学,大学生・大学院生,スタッフからの紹介,参加者との交流
2026-03-31T22:48:52+09:00,社会人【アフターパーティー有】_1,30代,愛知県,個人事業主,社会人,所属校・会社からの紹介,"登壇者によるトークセッション,ワークショップ,アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-04-01T10:55:56+09:00,高校生以下【アフターパーティー有】_1,10代,愛媛県,FC今治高校 里山校,高校生,Club ホームページ・メール,"登壇者によるトークセッション,ワークショップ,ディスカバリーセッション(ブレイク),ディスカバリーセッション(ストリーム),アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-04-01T16:11:22+09:00,大学生・大学院生【アフターパーティー無】_1,20代,愛知県,愛知工業大学,大学生・大学院生,スタッフからの紹介,新しい知識や価値観の習得
2026-04-01T17:57:20+09:00,高校生以下【アフターパーティー有】_1,10代,愛知県,FC今治高校里山校,高校生,その他,新しい知識や価値観の習得
2026-04-01T19:20:21+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,南山大学,大学生・大学院生,"Club Instagram,スタッフからの紹介",登壇者によるトークセッション
2026-04-01T19:55:50+09:00,社会人【アフターパーティー有】_1,30代,愛知県,なし,社会人,スタッフからの紹介,"ディスカバリーセッション(ブレイク),ディスカバリーセッション(ストリーム),参加者との交流,新しい知識や価値観の習得"
2026-04-01T22:24:09+09:00,社会人【アフターパーティー有】_1,20代,愛知県,株式会社ヒップ,社会人,スタッフからの紹介,"アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-04-01T22:33:07+09:00,大学生・大学院生【アフターパーティー無】_1,20代,岐阜県,愛知学院大学,大学生・大学院生,Club ホームページ・メール,登壇者によるトークセッション
2026-04-01T22:54:51+09:00,大学生・大学院生【アフターパーティー有】_1,10代,愛知県,中日本自動車短期大学,大学生・大学院生,その他,新しい知識や価値観の習得
2026-04-02T20:50:50+09:00,社会人【アフターパーティー有】_1,20代,愛知県,岡谷鋼機株式会社,社会人,スタッフからの紹介,"登壇者によるトークセッション,参加者との交流"
2026-04-02T10:47:47+09:00,社会人【アフターパーティー有】_1,60代以上,愛知県,株式会社ジェイアンドティシステムズ,社会人,スタッフからの紹介,"登壇者によるトークセッション,ワークショップ,参加者との交流,新しい知識や価値観の習得"
2026-04-03T09:34:25+09:00,社会人【アフターパーティー有】_1,50代,愛知県,愛知県庁,社会人,スタッフからの紹介,"登壇者によるトークセッション,アフターパーティー,新しい知識や価値観の習得"
2026-04-03T22:01:32+09:00,高校生以下【アフターパーティー有】_1,10代,愛媛県,FC 今治高等学校里山校,高校生,その他,"登壇者によるトークセッション,新しい知識や価値観の習得"
2026-04-03T23:38:28+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,中部大学,大学生・大学院生,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ブレイク),アフターパーティー"
2026-04-04T09:21:08+09:00,社会人【アフターパーティー有】_1,60代以上,愛知県,iTraction株式会社,社会人,スタッフからの紹介,"登壇者によるトークセッション,ワークショップ,ディスカバリーセッション(ブレイク),ディスカバリーセッション(ストリーム),アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-04-04T12:43:28+09:00,社会人【アフターパーティー有】_1,30代,愛知県,デロイトトーマツ,社会人,駅広告,"登壇者によるトークセッション,ワークショップ,新しい知識や価値観の習得"
2026-04-05T11:33:44+09:00,大学生・大学院生【アフターパーティー無】_1,10代,茨城県,筑波大学,大学生・大学院生,"Club Instagram,スタッフからの紹介","登壇者によるトークセッション,ディスカバリーセッション(ブレイク),参加者との交流"
2026-04-05T12:43:01+09:00,社会人【アフターパーティー有】_1,30代,愛知県,なし,社会人,その他,"ワークショップ,ディスカバリーセッション(ブレイク),ディスカバリーセッション(ストリーム),アフターパーティー"
2026-04-05T13:07:37+09:00,高校生以下【アフターパーティー無】_1,10代,愛知県,名古屋経済大学市邨高等学校,高校生,Club以外の各種SNS媒体,"登壇者によるトークセッション,参加者との交流,新しい知識や価値観の習得"
2026-04-05T15:11:04+09:00,社会人【アフターパーティー無】_1,20代,愛知県,東伸運輸株式会社,大学生・大学院生,スタッフからの紹介,登壇者によるトークセッション
2026-04-05T17:32:14+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,名古屋大学工学部マテリアル工学科,大学生・大学院生,その他,"登壇者によるトークセッション,ワークショップ,ディスカバリーセッション(ブレイク),ディスカバリーセッション(ストリーム),アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-04-05T17:49:06+09:00,大学生・大学院生【アフターパーティー無】_1,20代,愛知県,名古屋大学,大学生・大学院生,スタッフからの紹介,"参加者との交流,新しい知識や価値観の習得"
2026-04-05T18:39:57+09:00,社会人【アフターパーティー無】_1,50代,大阪府,ミカタ税理士法人,社会人,スタッフからの紹介,登壇者によるトークセッション
2026-04-05T19:33:56+09:00,社会人【アフターパーティー無】_1,50代,大阪府,大同生命,社会人,スタッフからの紹介,登壇者によるトークセッション
2026-04-05T21:57:04+09:00,社会人【アフターパーティー有】_1,40代,愛知県,株式会社 東郷製作所,社会人,スタッフからの紹介,"参加者との交流,新しい知識や価値観の習得"
2026-04-06T09:19:08+09:00,社会人【アフターパーティー有】_1,30代,愛知県,TOPPAN株式会社,社会人,スタッフからの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得"
2026-04-06T16:30:16+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,日本福祉大学,大学生・大学院生,スタッフからの紹介,参加者との交流
2026-04-06T19:22:22+09:00,大学生・大学院生【アフターパーティー無】_1,20代,愛知県,名古屋大学,大学生・大学院生,スタッフからの紹介,登壇者によるトークセッション
2026-04-06T20:01:38+09:00,大学生・大学院生【アフターパーティー有】_1,20代,静岡県,静岡大学,大学生・大学院生,スタッフからの紹介,"登壇者によるトークセッション,ワークショップ,ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-04-06T22:18:30+09:00,社会人【アフターパーティー有】_1,30代,愛知県,なし,社会人,その他,"登壇者によるトークセッション,ワークショップ,ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-04-06T22:29:38+09:00,高校生以下【アフターパーティー無】_1,10代,岐阜県,岐阜北,高校生,Club以外の各種SNS媒体,"登壇者によるトークセッション,ディスカバリーセッション(ブレイク),参加者との交流,新しい知識や価値観の習得"
2026-04-06T23:16:56+09:00,大学生・大学院生【アフターパーティー無】_1,20代,愛知県,名古屋大学,大学生・大学院生,スタッフからの紹介,登壇者によるトークセッション
2026-04-06T23:36:19+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,名古屋大学,大学生・大学院生,Club ホームページ・メール,"登壇者によるトークセッション,アフターパーティー,新しい知識や価値観の習得"
2026-04-07T00:25:10+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,名古屋大学,大学生・大学院生,スタッフからの紹介,新しい知識や価値観の習得
2026-04-07T00:52:00+09:00,大学生・大学院生【アフターパーティー有】_1,10代,愛知県,名古屋大学,大学生・大学院生,スタッフからの紹介,新しい知識や価値観の習得
2026-04-07T09:55:39+09:00,大学生・大学院生【アフターパーティー有】_1,10代,愛知県,名古屋市立大学,大学生・大学院生,"Club Instagram,スタッフからの紹介",新しい知識や価値観の習得
2026-04-07T18:10:41+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,名古屋大学,大学生・大学院生,"スタッフからの紹介,その他","登壇者によるトークセッション,新しい知識や価値観の習得"
2026-04-07T18:47:14+09:00,大学生・大学院生【アフターパーティー有】_1,10代,静岡県,国立大学法人静岡大学,大学生・大学院生,"Club以外の各種SNS媒体,登壇者・出展者からの紹介","登壇者によるトークセッション,ワークショップ,アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-04-07T20:00:43+09:00,高校生以下【アフターパーティー有】_1,10代,静岡県,浜松学芸高等学校,高校生,登壇者・出展者からの紹介,"登壇者によるトークセッション,ワークショップ,ディスカバリーセッション(ブレイク),ディスカバリーセッション(ストリーム),アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-04-07T20:28:16+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,愛知学院大学,大学生・大学院生,スタッフからの紹介,参加者との交流
2026-04-07T21:07:25+09:00,社会人【アフターパーティー無】_1,20代,愛知県,なし,社会人,所属校・会社からの紹介,"登壇者によるトークセッション,ワークショップ,ディスカバリーセッション(ブレイク),ディスカバリーセッション(ストリーム),新しい知識や価値観の習得"
2026-04-07T21:20:41+09:00,高校生以下【アフターパーティー有】_1,10代,愛知県,EF Japan,高校生,スタッフからの紹介,"登壇者によるトークセッション,ワークショップ,ディスカバリーセッション(ブレイク),ディスカバリーセッション(ストリーム),アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-04-07T21:42:35+09:00,大学生・大学院生【アフターパーティー無】_1,20代,愛知県,名古屋大学,大学生・大学院生,スタッフからの紹介,登壇者によるトークセッション
2026-04-07T21:54:21+09:00,社会人【アフターパーティー有】_1,20代,愛知県,無し,社会人,その他,"アフターパーティー,参加者との交流"
2026-04-07T23:22:09+09:00,大学生・大学院生【アフターパーティー無】_1,20代,愛知県,南山大学,大学生・大学院生,"スタッフからの紹介,その他",新しい知識や価値観の習得
2026-04-08T01:47:39+09:00,大学生・大学院生【アフターパーティー有】_1,10代,東京都,明治大学,大学生・大学院生,登壇者・出展者からの紹介,参加者との交流
2026-04-08T08:33:34+09:00,社会人【アフターパーティー有】_1,20代,愛知県,デンソー,社会人,スタッフからの紹介,登壇者によるトークセッション
2026-04-08T10:19:25+09:00,大学生・大学院生【アフターパーティー有】_1,10代,愛知県,名城大学,大学生・大学院生,スタッフからの紹介,新しい知識や価値観の習得
2026-04-08T20:04:10+09:00,社会人【アフターパーティー有】_1,30代,愛知県,名古屋アイリッシュ音楽サークルBanna Beag,社会人,スタッフからの紹介,"登壇者によるトークセッション,アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-04-08T20:07:20+09:00,社会人【アフターパーティー有】_1,30代,愛知県,Banna Beag,社会人,その他,"登壇者によるトークセッション,アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-04-08T20:32:38+09:00,社会人【アフターパーティー有】_1,20代,愛知県,Banna Beag,社会人,スタッフからの紹介,"登壇者によるトークセッション,アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-04-08T22:05:51+09:00,大学生・大学院生【アフターパーティー無】_1,10代,愛知県,南山大学,大学生・大学院生,スタッフからの紹介,登壇者によるトークセッション
2026-04-08T22:11:23+09:00,社会人【アフターパーティー有】_1,20代,愛知県,NPO法人Grow & Leap,社会人,Club ホームページ・メール,"登壇者によるトークセッション,ワークショップ"
2026-04-08T22:43:21+09:00,社会人【アフターパーティー有】_1,50代,愛知県,無し,社会人,スタッフからの紹介,参加者との交流
2026-04-08T22:51:01+09:00,社会人【アフターパーティー有】_1,50代,愛知県,無し,社会人,スタッフからの紹介,登壇者によるトークセッション
2026-04-08T23:20:19+09:00,大学生・大学院生【アフターパーティー有】_1,10代,奈良県,奈良大学,大学生・大学院生,Club以外の各種SNS媒体,"登壇者によるトークセッション,アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-04-08T23:32:58+09:00,高校生以下【アフターパーティー無】_1,10代,愛知県,北高校,高校生,所属校・会社からの紹介,新しい知識や価値観の習得
2026-04-09T00:14:45+09:00,社会人【アフターパーティー有】_1,30代,愛知県,株式会社デンソーソリューション,社会人,スタッフからの紹介,"登壇者によるトークセッション,アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-04-09T00:38:57+09:00,社会人【アフターパーティー有】_1,30代,大阪府,無し,社会人,スタッフからの紹介,"登壇者によるトークセッション,アフターパーティー"
2026-04-09T07:46:28+09:00,社会人【アフターパーティー有】_1,20代,愛知県,株式会社シーホース三河,社会人,登壇者・出展者からの紹介,"登壇者によるトークセッション,ワークショップ,ディスカバリーセッション(ブレイク),ディスカバリーセッション(ストリーム),アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-04-09T09:52:55+09:00,大学生・大学院生【アフターパーティー無】_1,10代,愛知県,名古屋市立大学,大学生・大学院生,登壇者・出展者からの紹介,新しい知識や価値観の習得
2026-04-09T11:49:28+09:00,社会人【アフターパーティー無】_1,30代,愛知県,税理士法人、MACHIKOYAスタッフ,社会人,登壇者・出展者からの紹介,新しい知識や価値観の習得
2026-04-09T17:12:08+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,名城大学起業部,大学生・大学院生,登壇者・出展者からの紹介,"ディスカバリーセッション(ブレイク),ディスカバリーセッション(ストリーム),アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-04-09T17:33:57+09:00,社会人【アフターパーティー有】_1,20代,神奈川県,無し,社会人,スタッフからの紹介,登壇者によるトークセッション
2026-04-09T18:36:55+09:00,高校生以下【アフターパーティー無】_1,10代,愛知県,名古屋経済大学市邨高校,高校生,"スタッフからの紹介,所属校・会社からの紹介,登壇者・出展者からの紹介",新しい知識や価値観の習得
2026-04-09T19:34:37+09:00,高校生以下【アフターパーティー有】_1,10代,静岡県,聖隷クリストファー高校グローバルスクール,高校生,その他,"ワークショップ,アフターパーティー,参加者との交流"
