注文ID,注文時刻,注文内容,イベントID,イベントタイトル,チケットNo.,年代,"フリーフォーム1 所属(学校名または会社名)
 
 ※所属が無い方は「無し」とご記入ください。",オプション1 イベントを知ったきっかけ,オプション2 Club 2025に期待することをご選択ください。,オプション3 属性(最も当てはまるもの一つを選択してください),,
0214AV2PTh57C,2025-03-04T10:41:06+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-3,50代,中部テレコミュニケーション株式会社,"Club Instagram,Club Facebook",参加者との交流,社会人,,
0214AVhBDKEB9,2025-03-04T15:22:14+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-1,20代,聖心女子大学,所属校・会社からの紹介,"登壇者によるトークセッション,アフターパーティー",大学生大学院生,,
0214AVYDNE09A,2025-03-04T20:13:36+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-4,40代,GoDoNe,スタッフからの紹介,登壇者によるトークセッション,社会人,,
0214AW16YW7BR,2025-03-04T21:06:31+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-5,50代,株式会社 清水,登壇者・出展者からの紹介,登壇者によるトークセッション,社会人,,
0214AW9YBC6NI,2025-03-04T23:55:26+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-6,20代,札幌医科大学,"Club Instagram,スタッフからの紹介","登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214AXFG8X7A2,2025-03-05T12:36:36+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-6,50代,株式会社NJS,スタッフからの紹介,登壇者によるトークセッション,社会人,,
0214AXFhJJE6D,2025-03-05T12:37:17+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-7,50代,千葉工業大学,スタッフからの紹介,新しい知識や価値観の習得,社会人,,
0214AXFQSC473,2025-03-05T12:41:22+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-2,10代,東京工芸大学デザイン科,スタッフからの紹介,新しい知識や価値観の習得,大学生大学院生,,
0214AXT2B6DUB,2025-03-05T16:19:53+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-3,20代,名古屋大学,スタッフからの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得",大学生大学院生,,
0214AXYN69Qhh,2025-03-05T18:07:28+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-7,20代,名古屋工業大学大学院,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流",大学生大学院生,,
0214AY9IBPRA9,2025-03-05T21:37:23+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-1,10代,刈谷北高校,スタッフからの紹介,登壇者によるトークセッション,高校生,,
0214AYB6FUD2N,2025-03-05T22:09:57+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-8,20代,TEDxSophia U （上智大学）,"Club Instagram,スタッフからの紹介","登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),アフターパーティー,新しい知識や価値観の習得",大学生大学院生,,
0214AYG7XMPG5,2025-03-05T23:46:50+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-4,20代,東京国立博物館,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",社会人,,
0214AZIW9h4IE,2025-03-06T11:32:34+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-9,20代,名古屋大学,"Club Instagram,スタッフからの紹介","登壇者によるトークセッション,ディスカバリーセッション(ブレイク),参加者との交流",大学生大学院生,,
0214B2CPQ6RGF,2025-03-07T18:18:28+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-5,60代以上,細田塾,Club X,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),新しい知識や価値観の習得",社会人,,
0214B2CS2QI0D,2025-03-07T18:19:43+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-10,20代,放送大学,"Club X,Club ホームページ,Club以外のSNS","登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流",大学生大学院生,,
0214B3NJ98IB3,2025-03-08T08:23:46+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-6,40代,稲沢市民病院,その他,新しい知識や価値観の習得,社会人,,
0214B3NJSA65F,2025-03-08T08:23:49+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-7,50代,西冨熔接工業株式会社,その他,登壇者によるトークセッション,社会人,,
0214B3R6175VN,2025-03-08T09:13:50+09:00,高校生以下【AP有り】_1,027nafamkb741,Club 2025,B-3,10代,名大付属中学,Club Instagram,登壇者によるトークセッション,中学生以下,,
0214B4YWTJIM6,2025-03-08T22:37:59+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-8,50代,なし,Club Facebook,登壇者によるトークセッション,社会人,,
0214B4YXUGG5U,2025-03-08T22:38:36+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-11,20代,名城大学,"Club Instagram,スタッフからの紹介",登壇者によるトークセッション,大学生大学院生,,
0214B55hDh7KM,2025-03-09T00:45:05+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-12,20代,名古屋大学,"Club Instagram,スタッフからの紹介","登壇者によるトークセッション,新しい知識や価値観の習得",大学生大学院生,,
0214B63A55E1P,2025-03-09T10:57:40+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-13,20代,名古屋大学,スタッフからの紹介,登壇者によるトークセッション,大学生大学院生,,
0214B77hKM8A2,2025-03-09T23:13:53+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-14,20代,無し,Club ホームページ,登壇者によるトークセッション,大学生大学院生,,
0214B9APZMRKY,2025-03-10T22:05:33+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-8,40代,無し,スタッフからの紹介,参加者との交流,社会人,,
0214BFKhJJVGA,2025-03-13T18:44:51+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-9,20代,株式会社FIXER,所属校・会社からの紹介,新しい知識や価値観の習得,社会人,,
0214BFMBQAT80,2025-03-13T19:00:46+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-10,20代,株式会社FIXER,登壇者・出展者からの紹介,登壇者によるトークセッション,社会人,,
0214BGQUSKTZU,2025-03-14T07:03:20+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-15,10代,名古屋工業大学,"Club以外のSNS,スタッフからの紹介","登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214BhW42D7RW,2025-03-14T19:39:59+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-16,30代,無し,スタッフからの紹介,登壇者によるトークセッション,社会人,,
0214BhZhCJK1G,2025-03-14T20:45:26+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-4,20代,東京科学大学,スタッフからの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得",大学生大学院生,,
0214BJETPR99h,2025-03-15T12:35:22+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-17,10代,大阪大学,Club Instagram,"登壇者によるトークセッション,新しい知識や価値観の習得",大学生大学院生,,
0214BK1T3E0UY,2025-03-15T19:19:29+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-18,20代,名古屋大学,スタッフからの紹介,新しい知識や価値観の習得,大学生大学院生,,
0214BNE61C9G3,2025-03-16T21:08:22+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-10,40代,名古屋市教育委員会,Club Facebook,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),参加者との交流",社会人,,
0214BNEIF6YIM,2025-03-16T21:15:35+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-5,20代,名城大学,スタッフからの紹介,新しい知識や価値観の習得,大学生大学院生,,
0214BNNJER59B,2025-03-16T23:49:58+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-11,40代,なし,その他,登壇者によるトークセッション,社会人,,
0214BQPGI6UhY,2025-03-17T21:57:47+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-19,20代,上智大学,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214BQTMSKW97,2025-03-17T23:17:42+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-6,20代,神戸大学,スタッフからの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得",大学生大学院生,,
0214BSXDTI7MS,2025-03-18T22:20:50+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-20,20代,上智大学,その他,"登壇者によるトークセッション,アフターパーティー",大学生大学院生,,
0214BT0GEMU2K,2025-03-18T23:19:52+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-21,20代,名古屋市立大学,スタッフからの紹介,登壇者によるトークセッション,大学生大学院生,,
0214BU846SC6E,2025-03-19T12:42:10+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-12,40代,株式会社ニデック,その他,登壇者によるトークセッション,社会人,,
0214BV43YD8K3,2025-03-19T22:19:58+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-22,20代,上智大学（TEDxSophia U）,Club Instagram,"登壇者によるトークセッション,アフターパーティー,新しい知識や価値観の習得",大学生大学院生,,
0214BWURNTYBE,2025-03-20T17:09:34+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-11,20代,チームラボ株式会社,Club Facebook,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ)",社会人,,
0214BX9IRCQFX,2025-03-20T21:54:55+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-2,10代,松蔭高校,登壇者・出展者からの紹介,登壇者によるトークセッション,高校生,,
0214BY7Y8TDFM,2025-03-21T08:18:52+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-12,20代,日本生命保険,Club Instagram,"ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク)",社会人,,
0214BY8DABJJU,2025-03-21T08:27:22+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-13,30代,無し,その他,"ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク)",社会人,,
0214C0Q546KM7,2025-03-22T11:21:08+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-14,50代,パナソニック㈱,その他,新しい知識や価値観の習得,社会人,,
0214C0Q54M6Q0,2025-03-22T11:21:20+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-23,20代,名古屋大学,スタッフからの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得",大学生大学院生,,
0214C30ZS8ShS,2025-03-23T12:40:13+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-15,20代,株式会社アテック,Club以外のSNS,"登壇者によるトークセッション,アフターパーティー,参加者との交流",社会人,,
0214C3MFMhWJB,2025-03-23T19:14:29+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-24,20代,名古屋大学,"Club Instagram,スタッフからの紹介","登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214C79hR8VA2,2025-03-25T11:04:54+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-16,40代,EdFusion,スタッフからの紹介,登壇者によるトークセッション,社会人,,
0214C7BGKS2VF,2025-03-25T11:42:51+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-17,50代,愛知教育大学附属名古屋中学校,登壇者・出展者からの紹介,登壇者によるトークセッション,社会人,,
0214C7G4R84ZV,2025-03-25T13:12:15+09:00,高校生以下【AP有り】_1,027nafamkb741,Club 2025,B-4,10代,愛知教育大学附属名古屋中学校,スタッフからの紹介,登壇者によるトークセッション,中学生以下,,
0214C7MTJ6FFR,2025-03-25T15:01:32+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-13,30代,豊通物流株式会社,スタッフからの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得",社会人,,
0214C7Q2UIGWF,2025-03-25T15:45:18+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-18,20代,青海株式会社,"Club ホームページ,その他","ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流",社会人,,
0214C887IPJWY,2025-03-25T21:35:01+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-19,30代,愛知教育大学附属名古屋中学校 起業部,"所属校・会社からの紹介,スタッフからの紹介,登壇者・出展者からの紹介","登壇者によるトークセッション,新しい知識や価値観の習得",社会人,,
0214CF3DXEXMZ,2025-03-29T00:27:30+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-25,20代,名古屋医専,スタッフからの紹介,"登壇者によるトークセッション,アフターパーティー,参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214CGP7XISDW,2025-03-29T17:44:34+09:00,高校生以下【AP有り】_1,027nafamkb741,Club 2025,B-5,10代,愛知教育大学附属名古屋中学校,登壇者・出展者からの紹介,"登壇者によるトークセッション,アフターパーティー,新しい知識や価値観の習得",中学生以下,,
0214CGUS4hJ1h,2025-03-29T19:31:16+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-21,40代,ロクディム,スタッフからの紹介,"参加者との交流,新しい知識や価値観の習得",社会人,,
0214Ch1KUK3TV,2025-03-29T21:43:01+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-26,10代,中京大学,スタッフからの紹介,"アフターパーティー,参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214Ch1VAD4QJ,2025-03-29T21:47:57+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-27,10代,三重大学,スタッフからの紹介,登壇者によるトークセッション,大学生大学院生,,
0214CJ17YNRIX,2025-03-30T19:25:59+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-15,40代,みずほ銀行,スタッフからの紹介,登壇者によるトークセッション,社会人,,
0214CJ4BTBU7B,2025-03-30T20:25:49+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-7,10代,東京経済大学,登壇者・出展者からの紹介,新しい知識や価値観の習得,大学生大学院生,,
0214CJ6NF8DET,2025-03-30T21:10:26+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-8,10代,東京都市大学,登壇者・出展者からの紹介,登壇者によるトークセッション,大学生大学院生,,
0214CKEXEQGVV,2025-03-31T10:44:41+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-22,20代,無し,登壇者・出展者からの紹介,"参加者との交流,新しい知識や価値観の習得",社会人,,
0214CKIRJhY2M,2025-03-31T11:58:28+09:00,高校生以下【AP有り】_1,027nafamkb741,Club 2025,B-6,10代,愛知教育大学附属名古屋中学校,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",中学生以下,,
0214CKSVhB20E,2025-03-31T14:34:55+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-23,40代,株式会社カチノデ,"スタッフからの紹介,登壇者・出展者からの紹介","アフターパーティー,参加者との交流,新しい知識や価値観の習得",社会人,,
0214CKYT4CGYW,2025-03-31T16:29:03+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-24,50代,愛知教育大学附属名古屋中学校\r\n\r\n（先に申し込んだ父を「高校生以下【AP有り】」として登録してしまいました。\r\nそのため今回、私（エバートアメリ）を「社会人【AP有り】」として申し込みしています。\r\n\r\nエバートディルク（50代）お申し込み番号：0214CKIRJhY2M「社会人【AP有り】」\r\nエバート亜芽里（10代）「高校生以下【AP有り】」,Club Instagram,"登壇者によるトークセッション,参加者との交流",社会人,,
0214CM7S79MJ8,2025-03-31T19:31:07+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-25,30代,株式会社Hashup,スタッフからの紹介,"登壇者によるトークセッション,アフターパーティー,参加者との交流",社会人,,
0214CMMZCCJNE,2025-03-31T23:55:57+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-29,20代,名古屋大学,"Club Instagram,Club X,Club Facebook,Club ホームページ,スタッフからの紹介","登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー",大学生大学院生,,
0214CMQBCQUJ8,2025-04-01T00:41:03+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-30,20代,名古屋大学,"Club Instagram,スタッフからの紹介","登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,新しい知識や価値観の習得",大学生大学院生,,
0214CMU0KTGY4,2025-04-01T01:52:04+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-31,10代,花園大学、株式会社LiemPia,スタッフからの紹介,"アフターパーティー,参加者との交流",大学生大学院生,,
0214CNFJ6PWW6,2025-04-01T08:47:32+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-3,10代,愛知県一宮市立南部中学校,"所属校・会社からの紹介,その他","登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),参加者との交流,新しい知識や価値観の習得",中学生以下,,
0214CNKh5C4XR,2025-04-01T10:22:28+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-32,10代,静岡文化芸術大学,Club Instagram,"登壇者によるトークセッション,参加者との交流",大学生大学院生,,
0214CNMTMTG45,2025-04-01T10:47:32+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-16,30代,株式会社ツクリエ,"Club Instagram,スタッフからの紹介","登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),参加者との交流,新しい知識や価値観の習得",社会人,,
0214CNSE5RD5Z,2025-04-01T12:16:19+09:00,高校生以下【AP有り】_1,027nafamkb741,Club 2025,B-7,10代,向陽高校,その他,"登壇者によるトークセッション,アフターパーティー",高校生,,
0214CPN9D90VR,2025-04-01T21:51:34+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-33,20代,名古屋大学,Club Instagram,"登壇者によるトークセッション,アフターパーティー,参加者との交流",大学生大学院生,,
0214CQEShNTCS,2025-04-02T06:22:32+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-17,40代,松城幼稚園,その他,新しい知識や価値観の習得,社会人,,
0214CQRCDNGTI,2025-04-02T09:46:10+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-34,20代,名古屋大学,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214CQSJQAJ39,2025-04-02T10:09:43+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-9,20代,名古屋大学,スタッフからの紹介,登壇者によるトークセッション,大学生大学院生,,
0214CQYJKK1YU,2025-04-02T12:05:06+09:00,高校生以下【AP有り】_1,027nafamkb741,Club 2025,B-8,10代,刈谷高校,スタッフからの紹介,アフターパーティー,高校生,遅刻する,
0214CRIUVFMXU,2025-04-02T18:36:10+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-18,40代,萩原エレクトロニクス株式会社,Club Instagram,"アフターパーティー,新しい知識や価値観の習得",社会人,,
0214CRUE0XC9Z,2025-04-02T21:40:13+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-26,40代,無し,"Club Instagram,スタッフからの紹介","登壇者によるトークセッション,新しい知識や価値観の習得",社会人,,
0214CRZKPKDT4,2025-04-02T23:20:02+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-10,10代,慶應義塾大学,登壇者・出展者からの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得",大学生大学院生,,
0214CTIFRQ6FT,2025-04-03T16:18:24+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-35,10代,愛知学院大学,"Club Instagram,スタッフからの紹介","登壇者によるトークセッション,アフターパーティー",大学生大学院生,,
0214CTMAQJ42S,2025-04-03T17:13:34+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-36,20代,愛知学院大学,スタッフからの紹介,"ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー",大学生大学院生,,
0214CTMGPQPFX,2025-04-03T17:16:53+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-37,10代,愛知学院大学 総合政策学部,スタッフからの紹介,参加者との交流,大学生大学院生,,
0214CU449R5VJ,2025-04-03T22:37:10+09:00,高校生以下【AP有り】_1,027nafamkb741,Club 2025,B-9,10代,刈谷高校,スタッフからの紹介,"アフターパーティー,新しい知識や価値観の習得",高校生,,
0214CU87A2CMF,2025-04-03T23:55:59+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-11,20代,京都大学,登壇者・出展者からの紹介,参加者との交流,大学生大学院生,,
0214CVY0RSNY9,2025-04-04T18:29:43+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-27,20代,エンジニア,"Club X,スタッフからの紹介,登壇者・出展者からの紹介","登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",社会人,,
0214CX5Y3EWKC,2025-04-05T07:57:22+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-12,10代,中部大学,スタッフからの紹介,登壇者によるトークセッション,大学生大学院生,,
0214CXBXNENYY,2025-04-05T09:52:45+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-38,10代,名古屋市立大学,その他,アフターパーティー,大学生大学院生,,
0214CXI2TR0I4,2025-04-05T11:51:21+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-39,20代,名古屋大学,スタッフからの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得",大学生大学院生,,
0214CY7U3hIV7,2025-04-05T19:29:05+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-13,20代,名古屋大学,スタッフからの紹介,登壇者によるトークセッション,大学生大学院生,,
0214CY7VU5VI2,2025-04-05T19:29:56+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-40,10代,中部大学 seed partner,その他,参加者との交流,大学生大学院生,,
0214CY9TSJ54X,2025-04-05T20:07:14+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-41,20代,名古屋市立大学,スタッフからの紹介,"登壇者によるトークセッション,参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214CYE4E99B0,2025-04-05T21:30:12+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-42,10代,南山大学,Club以外のSNS,"登壇者によるトークセッション,アフターパーティー",大学生大学院生,,
0214CYNGXE1YW,2025-04-06T00:11:26+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-43,20代,中部大学,スタッフからの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得",大学生大学院生,,
0214CZJZ0QIUW,2025-04-06T10:18:03+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-29,30代,株式会社三菱総合研究所,スタッフからの紹介,登壇者によるトークセッション,社会人,,
0214D06YUBAC2,2025-04-06T17:02:18+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-44,10代,大原法律公務員専門学校,その他,"アフターパーティー,参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214D08VRP91S,2025-04-06T17:39:11+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-19,60代以上,一般社団法人ビジネス？ローンチアウト,Club Facebook,登壇者によるトークセッション,社会人,,
